"","caseid","tea_supp","defsppr_self","spsrvpr_ssself","guarpr_self","immig_checks","wiretap","gun_control","aidblack_self","libcpre_self","white","dem_edu","tea_supp.1","fox","gender_respondent_x","dem_age_r_x","inc_incgroup_pre","Obama","Auth","bornagain","church","republican","trad_adjust","trad_lifestyle","trad_tolerant","trad_famval"
"3666",4612,0,3,5,2,1,1,2,4,3,"White",14,0,"Does not watch Fox","2. female",43,25,90,0.25,"2. no","2. no",2,2,1,2,2
"3667",4613,0,5,2,2,3,1,2,4,5,"White",12,0,"Does not watch Fox","1. male",24,19,10,0.75,"2. no","2. no",7,4,5,4,4
"3668",4614,0,4,3,3,1,2,2,3,4,"White",9,0,"Does not watch Fox","2. female",64,18,55,0.5,"1. yes","1. yes",4,5,4,2,4
"3669",4615,0,3,6,6,1,NA,3,4,5,"Non-white",9,0,"Does not watch Fox","1. male",50,11,70,NA,NA,"2. no",2,NA,NA,NA,NA
"3670",4616,1,4,1,1,3,1,1,1,6,"White",11,1,"Watches Fox","1. male",76,1,0,0.25,"2. no","2. no",4,3,4,3,5
"3671",4617,0,2,3,4,1,1,3,4,4,"White",13,0,"Does not watch Fox","1. male",52,13,60,0.25,NA,"2. no",3,3,2,2,2
"3672",4618,0,3,5,3,2,2,3,NA,5,"Non-white",9,0,"Does not watch Fox","1. male",25,7,85,0.75,NA,"2. no",2,2,3,2,4
"3673",4619,0,5,6,4,3,2,3,4,3,"White",10,0,"Does not watch Fox","2. female",53,24,70,0.5,NA,"2. no",2,2,2,1,1
"3674",4620,0,4,6,1,3,2,3,1,4,"White",7,0,"Does not watch Fox","1. male",61,5,100,1,"1. yes","2. no",4,3,5,5,4
"3675",4621,0,4,5,7,2,2,3,5,4,"Non-white",2,0,"Does not watch Fox","2. female",72,11,30,1,"2. no","1. yes",6,2,4,2,4
"3676",4622,1,3,4,3,3,2,3,4,5,"Non-white",14,1,"Does not watch Fox","2. female",57,1,85,0.75,"2. no","1. yes",1,2,4,2,5
"3677",4623,0,7,4,4,3,2,2,5,6,"White",10,0,"Does not watch Fox","1. male",52,11,0,1,"1. yes","1. yes",7,2,5,2,5
"3678",4624,0,7,1,1,3,3,2,1,4,"White",13,0,"Watches Fox","2. female",47,1,70,0.5,"2. no","1. yes",5,5,3,4,3
"3679",4625,0,5,5,6,2,2,3,NA,4,"Non-white",9,0,"Does not watch Fox","1. male",76,7,70,0.25,"1. yes","1. yes",2,2,4,2,5
"3680",4626,0,2,7,4,3,1,3,NA,2,"Non-white",4,0,"Does not watch Fox","1. male",72,1,100,0.25,"2. no","1. yes",1,1,5,1,5
"3681",4627,0,7,NA,2,2,3,2,1,4,"Non-white",13,0,"Watches Fox","1. male",73,1,40,0.75,"2. no","1. yes",4,2,4,1,5
"3682",4628,0,3,4,4,1,2,3,4,5,"Non-white",9,0,"Does not watch Fox","2. female",82,4,70,0.5,"2. no","1. yes",3,2,2,2,5
"3683",4629,0,1,4,5,1,1,3,5,2,"White",14,0,"Does not watch Fox","1. male",69,5,85,0,"2. no","2. no",1,2,1,2,2
"3684",4630,0,3,3,3,2,2,3,2,4,"White",13,0,"Does not watch Fox","1. male",75,19,85,0.25,"2. no","2. no",3,4,3,3,4
"3685",4631,1,3,2,3,3,2,3,2,5,"White",13,1,"Does not watch Fox","1. male",53,15,40,0.25,NA,"2. no",5,4,4,2,5
"3686",4632,0,6,6,3,2,2,3,4,4,"Non-white",NA,0,"Does not watch Fox","2. female",66,5,85,1,"2. no","1. yes",1,4,4,2,NA
